machine_id,timestamp,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,state,label_horizon,_keep_for_training
machine_01,2026-09-10T17:22:47.401816,303.738,312.933,1446.723,47.746,0.0,0,healthy,0,True
machine_01,2026-09-10T17:23:17.401816,303.781,312.899,1437.716,48.55,0.526,0,healthy,0,True
machine_01,2026-09-10T17:23:47.401816,303.867,312.921,1437.685,48.405,1.039,0,healthy,0,True
machine_01,2026-09-10T17:24:17.401816,303.797,312.892,1438.58,48.647,1.714,0,healthy,0,True
machine_01,2026-09-10T17:24:47.401816,303.779,312.924,1443.835,48.417,2.129,0,healthy,0,True
machine_01,2026-09-10T17:25:17.401816,303.776,312.877,1437.913,48.475,3.057,0,healthy,0,True
machine_01,2026-09-10T17:25:47.401816,303.75,312.863,1445.267,48.511,3.534,0,healthy,0,True
machine_01,2026-09-10T17:26:17.401816,303.814,312.905,1443.098,48.548,3.901,0,healthy,0,True
machine_01,2026-09-10T17:26:47.401816,303.804,312.913,1445.17,47.886,4.537,0,healthy,0,True
machine_01,2026-09-10T17:27:17.401816,303.762,312.888,1449.507,48.054,4.943,0,healthy,0,True
machine_01,2026-09-10T17:27:47.401816,303.78,312.907,1444.944,48.502,5.106,0,healthy,0,True
machine_01,2026-09-10T17:28:17.401816,303.772,312.938,1441.039,47.937,5.537,0,healthy,0,True
machine_01,2026-09-10T17:28:47.401816,303.83,312.906,1445.468,48.179,5.853,0,healthy,0,True
machine_01,2026-09-10T17:29:17.401816,303.782,312.92,1438.676,48.197,6.478,0,healthy,0,True
machine_01,2026-09-10T17:29:47.401816,303.829,312.879,1442.063,48.437,6.739,0,healthy,0,True
machine_01,2026-09-10T17:30:17.401816,303.794,312.881,1441.6,47.821,7.372,0,healthy,0,True
machine_01,2026-09-10T17:30:47.401816,303.74,312.918,1437.453,48.193,7.607,0,healthy,0,True
machine_01,2026-09-10T17:31:17.401816,303.844,312.858,1440.968,48.03,8.036,0,healthy,0,True
machine_01,2026-09-10T17:31:47.401816,303.697,312.919,1443.194,48.131,8.704,0,healthy,0,True
machine_01,2026-09-10T17:32:17.401816,303.768,312.91,1442.11,48.755,9.218,0,healthy,0,True
machine_01,2026-09-10T17:32:47.401816,303.811,312.91,1448.826,48.537,9.514,0,healthy,0,True
machine_01,2026-09-10T17:33:17.401816,303.729,312.871,1437.347,48.189,10.306,0,healthy,0,True
machine_01,2026-09-10T17:33:47.401816,303.787,312.834,1436.9,48.389,10.933,0,healthy,0,True
machine_01,2026-09-10T17:34:17.401816,303.974,312.918,1437.031,47.694,11.833,0,healthy,0,True
